j;x_m;z_m;q_flux_W_m2;Q_total_W;T_fluido_C;T_superficie_C;T_revestimento_C;T_interface_C;T_combustivel_max_C;h_W_m2K;Re;Pr;T_sat_C;margem_sat_C
1;-0.24375;0.0062500000000000056;66717.96586390946;100.07694879586418;30.080749380166832;38.1480933417205;38.24075718319815;38.3334210246758;38.70923233431656;8270.12783660466;11038.649509483455;5.386565901341278;111.31273266333955;81.23198328317271
2;-0.23125;0.01874999999999999;69184.97079395216;103.77745619092825;30.16448675195279;38.523207523968026;38.61929776118185;38.71538799839567;39.10520942098774;8276.980734370445;11058.45177256953;5.375688176021373;111.2617160575486;81.0972293055958
3;-0.21875;0.03125;71545.2975136573;107.31794627048595;30.251083219784714;38.88757816877329;38.98694663754226;39.086315106311226;39.48955014453485;8284.066387607396;11078.946114527538;5.364474227339999;111.21062715576801;80.95954393598329
4;-0.20625;0.04375000000000001;73795.30657030299;110.69295985545448;30.340405475175604;39.24065634612212;39.343149827469766;39.44564330881741;39.86167391833558;8291.373764665028;11100.102538189723;5.352944626198597;111.15946572902556;80.81906025384995
5;-0.19375;0.056249999999999994;75931.52861300779;113.89729291951168;30.43231600087752;39.58191491723036;39.687375373637316;39.79283583004427;40.22102337272589;8298.89149318855;11121.889992017743;5.341120339959369;111.10823154722652;80.675915546349
6;-0.18125;0.06875;77950.6697422183;116.92600461332746;30.526673281574727;39.910849215296814;40.01911403438323;40.127378853469644;40.56706508789629;8306.607878279669;11144.276408197167;5.329022679819828;111.05692437914615;80.53025109757142
7;-0.16875;0.08124999999999999;79849.61658866359;119.77442488299538;30.62333202080116;40.22697766465243;40.33787990991446;40.448782155176495;40.89929026283965;8314.510921150784;11167.228742596517;5.316673248606516;111.0055439924219;80.38221197162075
8;-0.15625;0.09375;81625.4411139448;122.43816167091721;30.72214336375605;40.52984233871267;40.643211006926485;40.756579675140294;41.217215320644485;8322.588338240246;11190.71301658877;5.304093889190694;110.95409015354636;80.23194678979031
9;-0.14375;0.10625000000000001;83275.40512535832;124.91310768803747;30.82295512568184;40.81900945739418;40.93466974229051;41.050330027186845;41.520382450687116;8330.827580755367;11214.69436072764;5.291306633717181;110.90256262785903;80.07960750217718
10;-0.13124999999999998;0.11875000000000002;84796.9644979903;127.19544674698544;30.925612025459312;41.09406982489614;41.2118433866989;41.329616948501666;41.80836008852041;8339.21585460941;11239.137060265362;5.278333653824915;110.85096117953901;79.9253491540797
11;-0.11875;0.13125;86187.77309757295;129.28165964635943;31.029955924065938;41.35463920896751;41.47434444938081;41.594049689794105;42.0807433344836;8347.740140717988;11264.004602492256;5.265197212024722;110.7992855715973;79.76932964753135
12;-0.10624999999999998;0.14375000000000002;87445.68639805357;131.16852959708035;31.135826067535305;41.600358662985016;41.721811005204536;41.843263347424056;42.33715431226698;8356.387215619889;11289.259725872153;5.2519196143857565;110.74753556586847;79.61170949833317
13;-0.09375;0.15625;88568.76478829817;132.85314718244726;31.243059334047697;41.830894792351;41.95390696566809;42.07691913898517;42.57724246885655;8365.143672386768;11314.864470940765;5.238523164667901;110.69571092300322;79.45265158895552
14;-0.08124999999999999;0.16875;89555.27656283134;134.332914844247;31.351490484774704;42.04593996688567;42.17032229544515;42.294704624004645;42.80068481745493;8373.995941785884;11340.780232927487;5.225030120022671;110.64381140246024;79.29232091768554
15;-0.06874999999999998;0.18125000000000002;90403.70059200058;135.60555088800086;31.46095241809418;42.24521248103315;42.37077317629982;42.496333871566485;43.0071861251277;8382.930313659679;11366.967816053959;5.2114626483703015;110.59183676249819;79.13088434440401
16;-0.056249999999999994;0.19375;91112.72866744785;136.66909300117177;31.571276426785793;42.42845666382703;42.555002120309595;42.68154757679216;43.19647904705659;8391.932958485875;11393.387489455488;5.19784278754598;110.53978676016749;78.96851033338169
17;-0.04374999999999998;0.20625000000000002;91681.26751927225;137.5219012789084;31.682292457812004;42.59544294066626;42.722778034443024;42.850113128219796;43.36832420939461;8400.989949081475;11419.99904466411;5.184192406293307;110.48766115130235;78.80536869349035
18;-0.03125;0.21875;92108.44050177274;138.16266075265912;31.793829374284535;42.74596784903897;42.873896238624766;43.00182462821056;43.52251024281159;8410.087282414313;11446.761854585258;5.170533167168397;110.43545969051235;78.6416303162278
19;-0.01874999999999999;0.23125;92393.58894517248;138.59038341775872;31.905715219212265;42.87985401039878;43.0081784394893;43.13650286857981;43.65885376889376;8419.210901485505;11473.634933892188;5.15688649140385;110.38318213117412;78.47746691196186
20;-0.006249999999999978;0.24375000000000002;92536.27317123965;138.80440975685949;32.01777748062284;42.99695006044642;43.12547266207314;43.25399526369986;43.77719934161667;8428.346717246568;11500.577000755518;5.143273525767948;110.33082822542309;78.31305074480025
21;0.006250000000000033;0.25625000000000003;92536.27317123965;138.80440975685949;32.12984335764761;43.09713054010023;43.22565314172695;43.35417574335367;43.8774193461496;8437.480630515014;11527.54653981799;5.129715111440933;110.27839772414501;78.1485543664974
22;0.01874999999999999;0.26875;92393.58894517248;138.59038341775872;32.24174002715721;43.180295749452085;43.308620178542604;43.43694460763312;43.95941385727025;8446.59855385265;11554.501866317949;5.116231754917476;110.22589037696713;77.98415034980991
23;0.03125;0.28125;92108.44050177274;138.16266075265912;32.353294910533656;43.24637156700231;43.37429995658811;43.50222834617391;44.02311045967336;8455.686433371031;11581.40119125775;5.102843600932317;110.17330593225;77.82001102171634
24;0.04375000000000001;0.29375;91681.26751927225;137.5219012789084;32.464335940163856;43.295309236448546;43.42264433022531;43.549979424002075;44.06846403244626;8464.730270429285;11608.202687507708;5.089570407394369;110.12064413707861;77.65630819691475
25;0.05625000000000002;0.30625;91112.72866744785;136.66909300117177;32.57469182523963;43.32708512327052;43.45363057975309;43.580176036235656;44.09545649995908;8473.716143189584;11634.86455672904;5.076431522304128;110.06790473725346;77.49321291201383
26;0.06875000000000003;0.31875000000000003;90403.70059200056;135.60555088800083;32.684192316449476;43.34170044330689;43.467261138573555;43.592821833840226;44.10409655137905;8482.630227996637;11661.345096994208;5.063445862619045;110.01508747728207;77.3308951608326
27;0.08125000000000004;0.33125000000000004;89555.27656283134;134.332914844247;32.792668469148865;43.33918096546136;43.46356329402085;43.587945622580335;44.09441933096741;8491.458820547892;11687.602770977175;5.050631895022373;109.96219210036969;77.16952363122083
28;0.09375;0.34375;88568.76478829817;132.85314718244726;32.899952904597704;43.31957669060651;43.442588863923596;43.565601037240675;44.066486101255464;8500.188356822047;11713.596274580923;5.038007618542863;109.90921834841083;77.00926544381312
29;0.10625000000000001;0.35625;87445.68639805357;131.16852959708035;33.00588006885618;43.282961508674354;43.404413850893874;43.525866193113394;44.02038388112491;8508.805433734175;11739.284605865174;5.025590548964946;109.85616596197957;76.85028589312338
30;0.11875000000000002;0.36875;86187.77309757295;129.28165964635943;33.11028648893353;43.2294328358347;43.349138076247996;43.46884331666129;43.95622506073617;8517.296829486671;11764.627134132686;5.0133977049625305;109.80303468032076;76.69274819138724
31;0.13125000000000003;0.38125000000000003;84796.96449799028;127.19544674698543;33.21301102578839;43.159111233567366;43.27688479537013;43.394658357172894;43.87414699516086;8525.649523586086;11789.583669029067;5.00144559588363;109.749824241341;76.53681321555261
32;0.14375000000000004;0.39375000000000004;83275.4051253583;124.91310768803746;33.31389512378386;43.07214001133245;43.18780029622878;43.303460581125115;43.77431157847876;8533.850716496852;11814.114529507458;4.989750211108084;109.6965343815989;76.38263925781504
33;0.15625;0.40625;81625.4411139448;122.43816167091721;33.41278305620586;42.96868481443598;43.0820534826498;43.19542215086361;43.65690480000013;8541.887848903845;11838.180612506832;4.978327010896375;109.64316483629568;76.23038178008983
34;0.16875;0.41875;79849.61658866359;119.77442488299538;33.50952216645936;42.84893319857724;42.959835443839275;43.07073768910131;43.52213628416855;8549.748620556888;11861.743461190687;4.9671909186440235;109.58971533926649;76.08019317280713
35;0.18125000000000002;0.43125;77950.6697422183;116.92600461332746;33.60396310456362;42.71309419245009;42.82135901153651;42.92962383062292;43.37023881559224;8557.421008671048;11884.76533259064;4.956356314453526;109.53618562296975;75.93222251840614
36;0.19375000000000003;0.44375000000000003;75931.52861300779;113.89729291951168;33.6959600585748;42.56139784965422;42.66685830606117;42.77231876246813;43.201467850540446;8564.893285857985;11907.20926449907;4.945837029933554;109.48257541847823;75.78661535990344
37;0.20625000000000004;0.45625000000000004;73795.30657030299;110.69295985545448;33.78537098057238;42.394094791054776;42.49658827240242;42.59908175375006;43.01610101613025;8572.154037564342;11929.03914145374;4.93564634413408;109.42888445546902;75.64351347489664
38;0.21875;0.46875;71545.2975136573;107.31794627048595;33.87205780685404;42.21145573861154;42.31082420738051;42.41019267614948;42.81443759831619;8579.192178994552;11950.21975965792;4.925796980525183;109.37511246221413;75.5030546553601
39;0.23125;0.48125;69184.97079395216;103.77745619092825;33.9558866719928;42.01377104158104;42.10986127879486;42.20595151600868;42.59679801968284;8585.99697149632;11970.71689067979;4.91630110492737;109.32125916556993;75.36537249357713
40;0.24375000000000002;0.49375;66717.96586390944;100.07694879586417;34.036728116420015;41.80135019587985;41.8940140373575;41.98667787883515;42.36352330792968;8592.55803838824;11990.497343776258;4.90717032430166;109.26732429096768;75.23059617454766
