j;x_m;z_m;q_flux_W_m2;Q_total_W;T_fluido_C;T_superficie_C;T_revestimento_C;T_interface_C;T_combustivel_max_C;h_W_m2K;Re;Pr;T_sat_C;margem_sat_C
1;-0.2925;0.007500000000000007;283107.02875399357;531.675;30.386499665782864;61.428426128177854;61.72726132519596;62.02609652221406;63.25923378834234;9120.15010076636;11982.573393928053;5.347009624533575;113.24831136800606;82.86181170222319
2;-0.27749999999999997;0.02250000000000002;283107.02875399357;531.675;30.773045437519766;61.697150837139404;61.99598603415751;62.29482123117562;63.52818653780482;9154.8979378875;12081.56561948576;5.297631432200702;113.1999468961863;82.42690145866653
3;-0.2625;0.03749999999999998;283107.02875399357;531.675;31.159636585170986;61.966891474057405;62.26572667107551;62.56456186809361;63.79815616221516;9189.622047634082;12180.915795184392;5.248940491471563;113.15151825568495;81.99188167051396
4;-0.2475;0.05249999999999999;283107.02875399357;531.675;31.546272383000836;62.23763667963205;62.53647187665015;62.835307073668254;64.0691312936334;9224.322060686902;12280.62232668834;5.200924841421129;113.10302525609916;81.55675287309832
5;-0.23249999999999998;0.0675;283107.02875399357;531.675;31.93295210959983;62.50937524700608;62.80821044402419;63.10704564104229;64.34110071668202;9258.997610078506;12380.683614790369;5.153572767443155;113.05446770615129;81.12151559655146
6;-0.2175;0.08249999999999999;283107.02875399357;531.675;32.31967504790663;62.78209611932998;63.080931316348085;63.379766513366185;64.61405336610899;9293.648331175322;12481.09805558749;5.1068727954325555;113.00584541368369;80.68617036577706
7;-0.20249999999999999;0.0975;283107.02875399357;531.675;32.70644048522963;63.05578838737402;63.35462358439213;63.65345878141023;64.88797832439809;9328.27386165981;12581.864040655226;5.060813686122099;112.95715818565327;80.25071770042365
8;-0.1875;0.11249999999999999;283107.02875399357;531.675;33.09324771326835;63.330441287186346;63.62927648420445;63.92811168122255;65.16286481942491;9362.87384151273;12682.97995722028;5.015384429568854;112.90840582812558;79.81515811485724
9;-0.1725;0.1275;283107.02875399357;531.675;33.48009602813444;63.6060441977958;63.90487939481391;64.20371459183201;65.43870222215801;9397.447912995463;12784.444188331658;4.970574239786023;112.85958814626963;79.37949211813519
10;-0.1575;0.1425;283107.02875399357;531.675;33.86698473037249;63.88258663895892;64.18142183597702;64.48025703299513;65.71548004440396;9431.995720632432;12886.255113030275;4.926372549515868;112.81070494435244;78.94372021397996
11;-0.1425;0.1575;283107.02875399357;531.675;34.253913124980485;64.16005826894968;64.45889346596779;64.75772866298588;65.99318793659533;9466.516911193581;12988.411106516878;4.882769005139754;112.76175602573261;78.50784290075212
12;-0.1275;0.1725;283107.02875399357;531.675;34.64088052143003;64.43844888239146;64.73728407940956;65.03611927642766;66.27181568562095;9501.011133676951;13090.910540318519;4.839753461721155;112.7127411928555;78.07186067142547
13;-0.11249999999999999;0.1875;283107.02875399357;531.675;35.02788623368623;64.71774840812995;65.01658360514806;65.31541880216616;66.55135321269714;9535.478039291356;13193.751782453395;4.797315978177933;112.66366024724687;77.63577401356063
14;-0.0975;0.20249999999999999;283107.02875399357;531.675;35.41492958022739;64.9979469071466;65.29678210416469;65.5956173011828;66.83179057127936;9569.917281439082;13296.933197594073;4.755446812580081;112.61451298950743;77.19958340928005
15;-0.08249999999999999;0.2175;283107.02875399357;531.675;35.802009884064276;65.27903457051117;65.57786976752926;65.87670496454737;67.11311794501323;9604.328515698719;13400.453147229175;4.7141364175693585;112.56529921930684;76.76328933524256
16;-0.0675;0.23249999999999998;283107.02875399357;531.675;36.18912647275928;65.56100171737295;65.85983691439105;66.15867211140916;67.39532564572406;9638.711399808062;13504.309989823534;4.6733754358972535;112.51601873537783;76.32689226261854
17;-0.05249999999999999;0.2475;283107.02875399357;531.675;36.57627867844512;65.84383879298971;66.14267399000782;66.44150918702593;67.67840411144422;9673.065593647105;13608.502080976688;4.633154696078019;112.46667133551017;75.89039265706505
18;-0.03749999999999998;0.2625;283107.02875399357;531.675;36.96346583784344;66.12753636679349;66.4263715638116;66.7252067608297;67.96234390447754;9707.39075922107;13713.02777357978;4.593465208153358;112.41725681654503;75.45379097870159
19;-0.02250000000000002;0.27749999999999997;283107.02875399357;531.675;37.35068729228295;66.41208513049254;66.71092032751065;67.00975552452876;68.2471357094995;9741.686560643588;13817.885417970982;4.554298159565668;112.36777497436861;75.01708768208567
20;-0.007500000000000007;0.2925;283107.02875399357;531.675;37.73794238771745;66.69747589620872;66.99631109322682;67.29514629024493;68.5327703316933;9775.952664119917;13923.073362089273;4.515644911136747;112.31822560390634;74.58028321618889
21;0.007500000000000007;0.3075;283107.02875399357;531.675;38.12523047474348;66.9836995946492;67.28253479166729;67.5813699886854;68.81923869491993;9810.188737930266;14028.5899516266;4.4774969931489785;112.26860849911634;74.14337802437285
22;0.02250000000000002;0.3225;283107.02875399357;531.675;38.51255090861771;67.27074727331245;67.56958247033056;67.86841766734867;69.10653183992298;9844.394452413171;14134.43353017851;4.439846101526089;112.21892345298357;73.70637254436586
23;0.03749999999999998;0.33749999999999997;283107.02875399357;531.675;38.899903049274066;67.55861009472707;67.85744529174518;68.15628048876329;69.39464092256567;9878.56947994902;14240.602439393266;4.4026840941106755;112.16917025751371;73.26926720823965
