j;x_m;z_m;q_flux_W_m2;Q_total_W;T_fluido_C;T_superficie_C;T_revestimento_C;T_interface_C;T_combustivel_max_C;h_W_m2K;Re;Pr;T_sat_C;margem_sat_C
1;-0.2925;0.007500000000000007;226659.90096290133;425.6672940083287;30.30943394577244;55.1809857012031;55.42023781888616;55.65948993656922;56.64237062065449;9113.219118441637;11962.878824423482;5.356938107709787;113.24831136800606;82.93887742223362
2;-0.27749999999999997;0.02250000000000002;235041.01819089142;441.40703216249415;30.630341021064364;56.340157397018146;56.58825624955298;56.83635510208781;57.85641432665882;9142.073002540916;12044.979409252694;5.315779455077817;113.1999468961863;82.56960587512194
3;-0.2625;0.03749999999999998;243059.71920494406;456.46615266688497;30.96222930499002;57.462722527554476;57.71928556449303;57.975848601431586;59.031545566546434;9171.894166784234;12130.140859273884;5.273718000676753;113.15151825568495;82.18928895069493
4;-0.2475;0.05249999999999999;250703.63974930247;470.82143544919006;31.30458981769373;58.5471836861904;58.811815305925776;59.07644692566115;60.166179455004695;9202.634703563088;12218.256337208188;5.230859853517855;113.10302525609916;81.79843543840542
5;-0.23249999999999998;0.0675;257960.9934525298;484.450745703851;31.656897285244764;59.592151955009186;59.86444411476463;60.13673627452008;61.25884333635096;9234.245275441592;12309.213776648901;5.187310117948466;113.05446770615129;81.39757042090652
6;-0.2175;0.08249999999999999;264820.5900012391;497.33306802232704;32.01861093143238;60.596346119437314;60.87587896443863;61.15541180943993;62.30817617127077;9266.67520218304;12402.895901198966;5.14317248717939;113.00584541368369;80.98723448225131
7;-0.20249999999999999;0.0975;271271.8523947458;509.4485387973327;32.389175295374535;61.5585914274142;61.844933938275325;62.13127644913644;63.312927460365884;9299.87255030384;12499.18025863236;5.09854886886419;112.95715818565327;80.56798289027873
8;-0.1875;0.11249999999999999;277304.8332540358;520.7784768510793;32.76802107378848;62.47781793332863;62.77052859065233;63.063239247976036;64.2719557442219;9333.784224949692;12597.939271011977;5.0535390439884225;112.90840582812558;80.1403847543371
9;-0.1725;0.1275;282910.2301599034;531.3054122402987;33.15456598670705;63.35305846830492;63.651685933473715;63.9503133986425;65.1842267210983;9368.356063876407;12699.040301596706;5.008240359870733;112.85958814626963;79.70502215956259
10;-0.1575;0.1425;288079.3999966069;541.0131131936279;33.54821566536187;64.18344627919608;64.48753009030361;64.79161390141114;66.04881102416404;9403.53293330577;12802.345739260727;4.962747457646586;112.81070494435244;79.26248927899056
11;-0.1425;0.1575;292804.3722789271;549.8866111398252;33.94836456089404;64.96821237887283;65.27728366072282;65.5863549425728;66.86488170048145;9439.258825416322;12907.71310103218;4.9171520342036015;112.76175602573261;78.81339146483856
12;-0.1275;0.1725;297077.8614420775;557.9122237882216;34.35439687249466;65.70668265012304;66.02026483720078;66.33384702427854;67.63171143371315;9475.476957219493;13014.995153236612;4.87154263816907;112.7127411928555;78.35834432036084
13;-0.11249999999999999;0.1875;300893.27807551716;565.0775762258213;34.76568749352287;66.3982747447398;66.71588431604172;67.03349388734367;68.34866955183904;9512.12987056387;13124.040051604501;4.826004499218346;112.66366024724687;77.89797275372399
14;-0.0975;0.20249999999999999;304244.7390833441;571.3716199985203;35.18160297409695;67.04249481822409;67.36364204281206;67.68478926740003;69.01521886006262;9549.159533003687;13234.69150057185;4.780619389679606;112.61451298950743;77.43291001541049
15;-0.08249999999999999;0.2175;307127.0767556032;576.7846501470228;35.60150249860651;67.63893413900864;67.96312383113955;68.28731352327047;69.63091233761324;9586.50743926335;13346.788931871966;4.735465517156402;112.56529921930684;76.96379672070033
16;-0.0675;0.23249999999999998;309535.8467365197;581.308320171184;36.02473887654994;68.18726560927423;68.51399789194056;68.84073017460689;70.19538973535768;9624.11471302662;13460.167702383524;4.690617446675333;112.51601873537783;76.49127985882788
17;-0.05249999999999999;0.2475;311467.3348773743;584.935654899709;36.45065954506198;68.68724023232981;69.01601130803371;69.34478238373761;70.70837410907674;9661.922208778089;13574.659311068335;4.646146050691;112.46667133551017;76.01601179044819
18;-0.03749999999999998;0.2625;312918.5629634507;587.6610612453604;36.878607581461594;69.13868355921305;69.46898648678558;69.79928941435811;71.16966832098703;9699.870613425292;13690.091634702198;4.602118485143032;112.41725681654503;75.53864923508344
19;-0.02250000000000002;0.27749999999999997;313887.2933062273;589.4803368290949;37.30792272412087;69.541492144688;69.87281762095567;70.20414309722337;71.57915153964593;9737.900547432286;13806.289181974757;4.558598189658556;112.36777497436861;75.05985225024774
20;-0.007500000000000007;0.2925;314372.0321937306;590.3906764598261;37.73794239993066;69.8956300402184;70.2274671853118;70.55930433040517;71.93677576581337;9775.952665200082;13923.073365411732;4.5156449099257685;112.31822560390634;74.58028320397568
21;0.007500000000000007;0.3075;314372.0321937306;590.3906764598261;38.16800275661944;70.20112534882178;70.53296249391515;70.86479963900854;72.24256240920427;9813.967754435262;14040.262790454122;4.473314740227671;112.26860849911634;74.1006057424969
22;0.02250000000000002;0.3225;313887.2933062273;589.4803368290949;38.5974396981675;70.4580668640031;70.78939234027078;71.12071781653847;72.49659893838928;9851.886834256304;14157.67356091796;4.431660184116325;112.21892345298357;73.62148375481607
23;0.03749999999999998;0.33749999999999997;312918.5629634507;587.6610612453604;39.02558992154948;70.66660081226485;70.99690373983738;71.32720666740991;72.69903562342644;9889.651251796518;14275.119599952635;4.390730231224737;112.16917025751371;73.14358033596423
24;0.05249999999999999;0.3525;311467.3348773743;584.935654899709;39.45179195303448;70.8269277160221;71.155698791726;71.4844698674299;72.85008238816549;9927.202777073748;14392.412985518868;4.350570448251947;112.11934870372664;72.66755675069217
25;0.0675;0.3675;309535.8467365197;581.308320171184;39.87538718227412;70.93929939115355;71.26603167381988;71.59276395648621;72.95000578659102;9964.48369590951;14509.364299318302;4.311223082214418;112.06945858164994;72.19407139937582
26;0.08250000000000002;0.3825;307127.0767556032;576.7846501470228;40.29572089241524;71.00401609090876;71.32820578303968;71.65239547517058;72.999126115083;10001.43690069435;14625.782988026984;4.27272717412991;112.019499680313;71.72377878789777
27;0.09749999999999998;0.39749999999999996;304244.7390833441;571.3716199985203;40.7121432844849;71.02142380549628;71.34257103008426;71.66371825467223;72.99781467009613;10038.005978810908;14741.477735613375;4.235118681386424;111.9694717877403;71.2573285032554
28;0.11249999999999999;0.4125;300893.27807551716;565.0775762258213;41.12401049431094;70.99191172441118;71.30952129571313;71.62713086701505;72.94649115851263;10074.135298542747;14856.256845461165;4.198430607144655;111.91937469094512;70.79536419663418
29;0.1275;0.4275;297077.8614420775;557.9122237882216;41.530685600261485;70.91590986643607;71.22949205351381;71.54307424059157;72.84562126581692;10109.77009231358;14969.928630964503;4.16269313522641;111.86920817592238;70.3385225756609
30;0.14250000000000002;0.4425;292804.3722789271;549.8866111398252;41.931539620110925;70.79388688028085;71.10295816213082;71.4120294439808;72.6957143852833;10144.856537119378;15082.30181322181;4.127933769050013;111.81897202764304;69.88743240753212
31;0.15749999999999997;0.45749999999999996;288079.3999966069;541.0131131936279;42.32595249536794;70.62634801701606;70.93043182812359;71.23451563923112;72.49732150957378;10179.341832033919;15193.185924421765;4.094177473285544;111.76866603004669;69.44271353467875
32;0.1725;0.4725;282910.2301599034;531.3054122402987;42.71331406143279;70.41383327380893;70.71246073897771;71.0110882041465;72.25103328451729;10213.174272686801;15302.391715491793;4.061446817015637;111.71828996603517;69.00497590460239
33;0.1875;0.4875;277304.8332540358;520.7784768510793;43.09302500198607;70.1569157069909;70.44962636431461;70.74233702163832;71.95747822335696;10246.303322631564;15409.73156656585;4.02976211729959;111.66784361746568;68.57481861547961
34;0.20249999999999996;0.5025;271271.8523947458;509.4485387973327;43.46449778604912;69.85619991116876;70.14254242202988;70.428884932891;71.61732107846701;10278.679681540116;15515.019898823219;3.999141582148707;111.61732676514424;68.15282897909512
35;0.21749999999999997;0.5175;264820.5900012391;497.33306802232704;43.827157586196854;69.51232065993521;69.79185350493653;70.07138634993782;71.23126136638375;10310.255350177978;15618.07358625284;3.9696014520276903;111.56673918881836;67.73958160262151
36;0.23249999999999998;0.5325;257960.9934525298;484.450745703851;44.180443176447014;69.12594170273579;69.39823386249122;69.67052602224668;70.80003204100666;10340.983692132959;15718.712365909898;3.941156139099199;111.5160806671708;67.33563749072378
